status,report,source,score,margin
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/06-The Printed Image in TransitionPopular Pictorial Experience.md",0.3701,0.0971
mapped,"00-books-result/The printed image and the transformation of popular culture, 1790-1860 (Anderson/B0768-Pilgrims-Progress-report.md","00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/08-THRPILGRIM's PROGRESS..md",0.5973,0.0553
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/17-The Business of ImageryThe Second Generation ofPictorial Mag.md",0.3040,0.0520
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/19-REYNOLDS'S MISCELLANY.md",0.2219,0.0000
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/27-The Civilizing ImageThe Second Generation and SocialVirtue18.md",0.2765,0.0414
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/34-ILLUSTRATED FAMILY PAPER ADVERTISEMENTS..md",0.5159,0.2003
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/36-ConclusionThe Making of a Mass CultureA Perspective from 186.md",0.3718,0.1148
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/31-The Transformation ofPopular CultureWorking People inan Expa.md",0.2378,0.0169
needs_new_report,,"00-books/The printed image and the transformation of popular culture, 1790-1860 (Anderson/25-REYNOLDS'S MISCELLANY.md",0.2279,0.0067
needs_new_report,,"00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/27-T-Garden The myth of disembodiment I Artificial in.md",0.2512,0.0194
mapped,"00-books-result/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/B0821-Microsoft-Window-report.md","00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/17-Microsoft Window (sic).md",0.6060,0.3571
needs_new_report,,"00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/19-Magic Book Magic Book as an interface.md",0.2720,0.0561
needs_new_report,,"00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/30-Terminal Time Platonic design.md",0.4394,0.1456
needs_new_report,,"00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/31-Digital art Recalling the contexts Computer softwa.md",0.3626,0.0916
needs_new_report,,"00-books/Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN/35-Convergence and diversity Embodying the virtual De.md",0.3809,0.1153
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0852-Figures-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/06-Figures.md,0.6514,0.3255
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/09-The October Revolution and the CivilWar.md,0.4947,0.1944
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0856-Spanish-Civil-War-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/100-The Spanish Civil War.md,0.6362,0.3514
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/118-Poland.md,0.2947,-0.0423
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/131-Art and industry in the Austro-HungarianEmpire (Du.md,0.5252,0.2026
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0887-Industrial-Sector-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/133-The industrial sector.md,0.6601,0.2825
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B0893-Estonia-Latvia-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/139-Estonia and Latvia.md,0.5597,0.2423
