版本编号,文献编号,原版出版年份,所用版本年份,中文译本信息,不同译本差异,推荐使用版本,引用页码版本,备注
ED00028,B1243,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/19-不是“这个好”而是“这样 就好”.md
ED00029,B1244,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/20-无印良品的表面.md
ED00030,B1245,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/21-关于欲 望的教育.md
ED00031,B1246,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/22-节制 的设计.md
ED00032,B1247,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/23-5 无印良品的空间｜杉本贵志.md
ED00033,B1248,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/24-自然 地做自然的事.md
ED00034,B1249,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/25-东京中城的无印良品.md
ED00035,B1250,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/26-无印良品之家.md
ED00036,B1251,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/27-无印良品露 营地.md
ED00037,B1252,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/28-无印良品BGM.md
